,text
237,"Only 15% of homes in Harris County, Texas (which includes Houston) have flood insurance https://t.co/0R7eSPOEBP via @jillonmoney #Harvey"
238,I'm glad i decided to stay in this weekend to save money im so responsible ☺️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️#harvey
239,Remember that giving money let's them order what's needed. We can help them. #HARVEY https://t.co/IMfZDp4x3M
240,Is there a Venmo for humans to send money directly to dogs? Plz let me know. #harvey #abandonedfamily
241,@DrJillStein @robbyj62 Maybe @drJillstein you can send that money you collected for a recall to the people suffering through #harvey
242,Please let me know if there is anywhere taking donations for gas money for citizens using their boats for rescue!!! #HOUSTON #HARVEY
243,"How can you help? #Huston #Harvey
1. Stay away from affected areas. Don't go sight seeing.
2. Donate money or time. Not clothing."
244,Can't talk about Politics today. Too many people are in harms way..send money to #RedCross #Harvey victims
245,"Rather than buy this Nazi's shitty book, why not send that money to help #Harvey relief? https://t.co/LtkaJv9ETX"
246,@GeorgeTakei #WellSaid!! And would be even better if Trump actually donated a billion dollars of his own money to… https://t.co/6JqNHGFVm1
247,@realDonaldTrump Stop talking about your freaking wall and use the money to help #Houston and Texas rebuild after… https://t.co/pl8OtZ2Xct
248,One thing though- keep the damn disaster profiteers the hell out of Texas. They are snakes who will suck up all the money. #Harvey
249,"&gt;&gt;money scam alert&lt;&lt;
https://t.co/ejd8b99Ds0
know where your contribution is going before you click

#HurricaneHarvey #harvey #scamalert"
250,@GeorgeTakei @RogueNASA You can also donate to @UMC_UMCOR. 100% of your money goes directly to aid those who are facing #harvey
251,@realDonaldTrump  This money could've been spent in better ways. #Harvey @HouseGOP https://t.co/0A464no9Bt
252,Are you listening #Congress ? NOT ONE PENNY of my tax money for that fucking wall! ALL of that funding to go to rescue and recovery #Harvey
253,"Please read this before donating any money anywhere — 5 Tips for Donating After Disasters https://t.co/3V7Cfu06xP

#HurricaneHarvery #Harvey"
254,Everybody don't have money to evacuate don't judge #Harvey
255,"Don't buy this book. Instead, use your money to support #Hurricane #Harvey relief: text HARVEY to 90999 to give $10… https://t.co/33GLidhu2j"
